Rank,Release Group,Worldwide,Domestic,%,Foreign,%
84,When Will It Be Again Like It Never Was Before,"$1,397,753",-,-,"$1,397,753",100%
85,Romancham,"$1,370,562",-,-,"$1,370,562",100%
86,Nyurnberg,"$1,364,001",-,-,"$1,364,001",100%
87,Princes of the Desert,"$1,342,759",-,-,"$1,342,759",100%
88,Le clan,"$1,316,331",-,-,"$1,316,331",100%
89,Papy protiv mam,"$1,257,100",-,-,"$1,257,100",100%
90,Where The Wind Blows,"$1,240,094",-,-,"$1,240,094",100%
91,"Baian the Assassin, M.D. Part 1","$1,234,515",-,-,"$1,234,515",100%
92,Siêu lua gap siêu lay,"$1,220,516",-,-,"$1,220,516",100%
93,Marui Video,"$1,192,532",-,-,"$1,192,532",100%
94,The Sitting Duck,"$1,163,937",-,-,"$1,163,937",100%
95,Dangerous Men,"$1,127,707",-,-,"$1,127,707",100%
96,Masz ci los!,"$1,111,717",-,-,"$1,111,717",100%
97,No Dogs or Italians Allowed,"$1,084,461",-,-,"$1,084,461",100%
98,Nabil El Gamil Dr. Tagmeel,"$1,071,963",-,-,"$1,071,963",100%
99,Tchaikovsky's Wife,"$1,054,483",-,-,"$1,054,483",100%
100,Beshenstvo,"$1,002,167",-,-,"$1,002,167",100%
101,Youssef Salem a du succès,"$999,559",-,-,"$999,559",100%
102,Na Twoim miejscu,"$968,337",-,-,"$968,337",100%
103,The Devil Conspiracy,"$960,211","$765,218",79.7%,"$194,993",20.3%
104,Consecration,"$937,204","$538,551",57.5%,"$398,653",42.5%
105,Invalid,"$884,169",-,-,"$884,169",100%
106,Un petit miracle,"$872,829",-,-,"$872,829",100%
107,Ramon,"$860,517",-,-,"$860,517",100%
108,Waltair Veerayya,"$838,855","$320,000",38.1%,"$518,855",61.9%
109,Oh My Goodness!,"$825,505",-,-,"$825,505",100%
110,Carrie and Superkola,"$802,729",-,-,"$802,729",100%
111,Hidden Blade,"$800,455","$722,128",90.2%,"$78,327",9.8%
112,Duda & Dada The Secret of HooHoo Island,"$771,595",-,-,"$771,595",100%
113,Wild Game,"$768,576",-,-,"$768,576",100%
114,Malikappuram,"$767,076",-,-,"$767,076",100%
115,Umami,"$764,049",-,-,"$764,049",100%
116,National Theatre Live: The Crucible,"$739,325",-,-,"$739,325",100%
117,Let the River Flow,"$733,141",-,-,"$733,141",100%
118,Taximetristi,"$708,829",-,-,"$708,829",100%
119,Munch,"$697,330",-,-,"$697,330",100%
120,Next Sohee,"$683,636",-,-,"$683,636",100%
121,Selfiee,"$671,390","$333,605",49.7%,"$337,785",50.3%
122,Gold Kingdom and Water Kingdom,"$661,354",-,-,"$661,354",100%
123,The Mountain,"$660,878",-,-,"$660,878",100%
124,À la belle étoile,"$657,329",-,-,"$657,329",100%
125,Tina & Bettina 2: The Comeback,"$642,185",-,-,"$642,185",100%
126,Les têtes givrées,"$633,459",-,-,"$633,459",100%
127,Sakra,"$582,391",-,-,"$582,391",100%
128,Slub doskonaly,"$564,728",-,-,"$564,728",100%
129,Of an Age,"$556,585","$556,585",100%,-,-
130,Irati,"$540,746",-,-,"$540,746",100%
131,Shehzada,"$506,208",-,-,"$506,208",100%
132,Top Dogs,"$506,083",-,-,"$506,083",100%
133,The Great Magic,"$505,701",-,-,"$505,701",100%
134,Temptation,"$493,167",-,-,"$493,167",100%
135,Lie with Me,"$481,347",-,-,"$481,347",100%
136,Fien & Teun gaan kamperen,"$477,605",-,-,"$477,605",100%
137,Massimo Troisi: Somebody Down There Likes Me,"$459,385",-,-,"$459,385",100%
138,Nada Que Ver,"$451,077",-,-,"$451,077",100%
139,Romantiche,"$448,489",-,-,"$448,489",100%
140,Kali Jotta,"$444,663",-,-,"$444,663",100%
141,Cet été-là,"$441,597",-,-,"$441,597",100%
142,We Make Antiques! Osaka Dreams,"$436,229",-,-,"$436,229",100%
143,Neneh Superstar,"$428,109",-,-,"$428,109",100%
144,Vaathi,"$424,004",-,-,"$424,004",100%
145,White Paradise,"$415,679",-,-,"$415,679",100%
146,Le grand cirque,"$413,314",-,-,"$413,314",100%
147,Sixteen,"$398,559",-,-,"$398,559",100%
148,"Crouching Tiger, Hidden Dragon 2023 Re-release","$389,558","$389,558",100%,-,-
149,Oluja,"$388,403",-,-,"$388,403",100%
150,And So I'm at a Loss,"$382,793",-,-,"$382,793",100%
151,Opiekun,"$380,091",-,-,"$380,091",100%
152,Les gardiennes de la planète,"$377,943",-,-,"$377,943",100%
153,Enys Men,"$360,071",-,-,"$360,071",100%
154,Blue Jean,"$355,310",-,-,"$355,310",100%
155,Operation Napoleon,"$350,520",-,-,"$350,520",100%
156,Deti Nagana,"$347,393",-,-,"$347,393",100%
157,The Astronaut,"$342,234",-,-,"$342,234",100%
158,For My Country,"$341,845",-,-,"$341,845",100%
159,Musallat 3,"$339,730",-,-,"$339,730",100%
160,Prestij Meselesi,"$335,227",-,-,"$335,227",100%
161,Kutoppen - På sporet,"$334,948",-,-,"$334,948",100%
162,Sevda Mecburi Istikamet,"$332,371",-,-,"$332,371",100%
163,Demir Kadin Neslican,"$330,504",-,-,"$330,504",100%
164,OCTONAUTS: Above & Beyond Season 2,"$326,746",-,-,"$326,746",100%
165,Broken,"$305,384",-,-,"$305,384",100%
166,Daddy Daughter Trip,"$300,493",-,-,"$300,493",100%
167,Klipmeykery,"$298,561",-,-,"$298,561",100%
168,Fijn weekend,"$295,500",-,-,"$295,500",100%
169,Veera Simha Reddy,"$290,134",-,-,"$290,134",100%
170,Abyzou: Taker of Children,"$285,511",-,-,"$285,511",100%
171,Turbozavry. Zimniye priklyucheniya,"$280,954",-,-,"$280,954",100%
172,Mixed by Erry,"$277,656",-,-,"$277,656",100%
173,My Brother Above in the Tree,"$276,220",-,-,"$276,220",100%
174,Scarlet,"$269,722",-,-,"$269,722",100%
175,La primavera della mia vita,"$267,629",-,-,"$267,629",100%
176,65,"$263,703",-,-,"$263,703",100%
177,Children of the Corn,"$263,128","$263,128",100%,-,-
178,Blood,"$255,566",-,-,"$255,566",100%
179,Presque,"$246,055",-,-,"$246,055",100%
180,Vyru svajones,"$246,042",-,-,"$246,042",100%
181,Unwelcome,"$237,654",-,-,"$237,654",100%
182,Cricket & Antoinette,"$234,659",-,-,"$234,659",100%
183,Carol of the Bells,"$227,867",-,-,"$227,867",100%
184,Lobo Feroz,"$226,361",-,-,"$226,361",100%
185,Two Witches,"$220,090",-,-,"$220,090",100%
186,Babil-i Cin,"$213,817",-,-,"$213,817",100%
187,49,"$207,896",-,-,"$207,896",100%
188,The Chambermaid,"$205,630",-,-,"$205,630",100%
189,Christopher,"$202,198",-,-,"$202,198",100%
190,Midnight horror,"$199,024",-,-,"$199,024",100%
191,Lourdes 2022 Re-release,"$197,702","$197,702",100%,-,-
192,RRR Fan CelebRRRation 2023 Re-release,"$197,003","$197,003",100%,-,-
193,When You Finish Saving the World,"$196,920","$196,920",100%,-,-
194,Chekago,"$193,886",-,-,"$193,886",100%
195,The Killing of a Journalist,"$193,186",-,-,"$193,186",100%
196,Grandpa Goes South,"$186,332",-,-,"$186,332",100%
197,Nanpakal Nerathu Mayakkam,"$185,102",-,-,"$185,102",100%
198,Desconectada,"$184,602",-,-,"$184,602",100%
199,El cielo no puede esper@r,"$183,933",-,-,"$183,933",100%
200,Full River Red,"$181,591",-,-,"$181,591",100%
