Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avatar: The Way of Water,"$2,283,513,538","$671,703,496",29.4%,"$1,611,810,042",70.6%
2,Top Gun: Maverick,"$1,493,491,858","$718,732,821",48.1%,"$774,759,037",51.9%
3,Jurassic World: Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.3%,"$569,933,000",60.7%
6,Black Panther: Wakanda Forever,"$858,768,107","$453,820,389",52.8%,"$404,947,718",47.2%
7,The Batman,"$770,945,583","$369,345,583",47.9%,"$401,600,000",52.1%
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
10,Moon Man,"$460,237,662",-,-,"$460,237,662",100%
11,Puss in Boots: The Last Wish,"$454,944,750","$177,810,750",39.1%,"$277,134,000",60.9%
12,Fantastic Beasts: The Secrets of Dumbledore,"$406,950,844","$95,850,844",23.6%,"$311,100,000",76.4%
13,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%
14,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
15,Black Adam,"$392,952,111","$168,152,111",42.8%,"$224,800,000",57.2%
16,Elvis,"$287,340,048","$151,040,048",52.6%,"$136,300,000",47.4%
17,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
18,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
19,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
20,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%
23,DC League of Super-Pets,"$207,357,117","$93,657,117",45.2%,"$113,700,000",54.8%
24,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%
25,One Piece Film: Red,"$187,114,437","$12,775,324",6.8%,"$174,339,113",93.2%
26,M3GAN,"$172,298,530","$94,944,220",55.1%,"$77,354,310",44.9%
27,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
28,Ticket to Paradise,"$168,279,817","$68,275,985",40.6%,"$100,003,832",59.4%
29,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
30,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%
31,RRR,"$159,718,220","$14,500,000",9.1%,"$145,218,220",90.9%
32,Where the Crawdads Sing,"$140,230,760","$90,230,760",64.3%,"$50,000,000",35.7%
33,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%
34,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
35,The First Slam Dunk,"$120,107,619",-,-,"$120,107,619",100%
36,A Man Called Otto,"$107,011,261","$63,611,261",59.4%,"$43,400,000",40.6%
37,Everything Everywhere All at Once,"$106,138,492","$73,265,492",69%,"$32,873,000",31%
38,Suzume,"$104,937,723",-,-,"$104,937,723",100%
39,Halloween Ends,"$104,186,860","$64,079,860",61.5%,"$40,107,000",38.5%
40,"Lyle, Lyle, Crocodile","$104,088,441","$46,888,441",45%,"$57,200,000",55%
41,The Roundup,"$101,154,047","$812,859",0.8%,"$100,341,188",99.2%
42,Downton Abbey: A New Era,"$92,617,848","$44,141,550",47.7%,"$48,476,298",52.3%
43,The Woman King,"$92,428,130","$67,328,130",72.8%,"$25,100,000",27.2%
44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
45,Don't Worry Darling,"$87,409,403","$45,309,403",51.8%,"$42,100,000",48.2%
46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
47,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
48,Jackass Forever,"$80,563,999","$57,743,451",71.7%,"$22,820,548",28.3%
49,The Menu,"$79,628,200","$38,501,125",48.4%,"$41,127,075",51.6%
50,Avatar 2022 Re-release,"$76,012,917","$24,714,024",32.5%,"$51,298,893",67.5%
51,Violent Night,"$75,956,865","$50,009,865",65.8%,"$25,947,000",34.2%
52,Strange World,"$73,621,640","$37,968,963",51.6%,"$35,652,677",48.4%
53,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
54,Interstellar 2021 Re-release,"$72,418,623",-,-,"$72,418,623",100%
55,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
56,Moonfall,"$67,295,363","$19,060,660",28.3%,"$48,234,703",71.7%
57,Babylon,"$63,351,455","$15,351,455",24.2%,"$48,000,000",75.8%
58,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
59,Whitney Houston: I Wanna Dance with Somebody,"$56,691,439","$23,691,439",41.8%,"$33,000,000",58.2%
60,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
61,Ambulance,"$52,300,984","$22,781,115",43.6%,"$29,519,869",56.4%
62,Marry Me,"$50,477,597","$22,438,180",44.5%,"$28,039,417",55.5%
63,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
64,The Banshees of Inisherin,"$46,604,642","$10,521,380",22.6%,"$36,083,262",77.4%
