Rank,Release Group,Worldwide,Domestic,%,Foreign,%
65,Barbarian,"$45,352,337","$40,842,944",90.1%,"$4,509,393",9.9%
66,Prey for the Devil,"$44,658,929","$19,802,293",44.3%,"$24,856,636",55.7%
67,Paws of Fury: The Legend of Hank,"$42,342,506","$17,811,382",42.1%,"$24,531,124",57.9%
68,The Fabelmans,"$37,955,904","$17,273,475",45.5%,"$20,682,429",54.5%
69,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
70,The Whale,"$36,533,427","$16,895,489",46.2%,"$19,637,938",53.8%
71,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
72,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
73,Skyfall 2021 Re-release,"$33,910,282",-,-,"$33,910,282",100%
74,Hunt,"$33,811,307","$25,994",<0.1%,"$33,785,313",99.9%
75,The Invitation,"$33,700,080","$25,100,080",74.5%,"$8,600,000",25.5%
76,Roald Dahl's Matilda the Musical,"$33,483,453",-,-,"$33,483,453",100%
77,Tad the Lost Explorer and the Emerald Tablet,"$32,849,430","$67,599",0.2%,"$32,781,831",99.8%
78,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
79,Shin Ultraman,"$32,125,023","$601,490",1.9%,"$31,523,533",98.1%
80,Amsterdam,"$31,245,810","$14,947,969",47.8%,"$16,297,841",52.2%
81,Mrs. Harris Goes to Paris,"$30,705,984","$10,433,915",34%,"$20,272,069",66%
82,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
83,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
84,The 355,"$27,827,745","$14,570,455",52.4%,"$13,257,290",47.6%
85,Serial (Bad) Weddings 3,"$27,575,554",-,-,"$27,575,554",100%
86,The Night Owl,"$26,719,364",-,-,"$26,719,364",100%
87,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
88,Triangle of Sadness,"$24,733,572","$4,545,832",18.4%,"$20,187,740",81.6%
89,Hero,"$24,390,531",-,-,"$24,390,531",100%
90,Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,716,329",-,-,"$23,716,329",100%
91,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
92,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
93,Decision to Leave,"$22,769,351","$2,179,864",9.6%,"$20,589,487",90.4%
94,The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
95,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
96,6/45,"$22,263,336",-,-,"$22,263,336",100%
97,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
98,See How They Run,"$21,966,634","$9,586,237",43.6%,"$12,380,397",56.4%
99,Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.6%,"$17,594,105",80.4%
100,Devotion,"$21,754,392","$20,511,938",94.3%,"$1,242,454",5.7%
101,Silent Parade,"$21,723,595",-,-,"$21,723,595",100%
102,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
103,Emergency Declaration,"$21,357,776","$412,196",1.9%,"$20,945,580",98.1%
104,Three Thousand Years of Longing,"$20,175,708","$8,286,741",41.1%,"$11,888,967",58.9%
105,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
106,Tár,"$20,077,589","$6,701,375",33.4%,"$13,376,214",66.6%
107,After Ever Happy,"$19,155,062","$1,072,750",5.6%,"$18,082,312",94.4%
108,Simone: Woman of the Century,"$19,128,080",-,-,"$19,128,080",100%
109,Beast,"$18,911,959",-,-,"$18,911,959",100%
110,Godfather,"$18,737,287",-,-,"$18,737,287",100%
111,The Amazing Maurice,"$18,699,488","$3,830,156",20.5%,"$14,869,332",79.5%
112,Broker,"$18,632,208","$1,046,899",5.6%,"$17,585,309",94.4%
113,Die Schule der magischen Tiere 2,"$18,342,099",-,-,"$18,342,099",100%
114,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
115,November,"$18,037,653",-,-,"$18,037,653",100%
116,From Siberia with Love,"$17,954,691",-,-,"$17,954,691",100%
117,The Quintessential Quintuplets Movie,"$17,506,171","$502,000",2.9%,"$17,004,171",97.1%
118,Fall,"$17,363,261","$7,240,521",41.7%,"$10,122,740",58.3%
119,Wunderschön,"$16,719,291",-,-,"$16,719,291",100%
120,Father There Is Only One 3,"$16,707,892",-,-,"$16,707,892",100%
121,Even If This Love Disappears from the World Tonight,"$16,474,515",-,-,"$16,474,515",100%
122,Dr. Coto's Clinic,"$16,062,841",-,-,"$16,062,841",100%
123,Radhe Shyam,"$15,954,804","$1,860,000",11.7%,"$14,094,804",88.3%
124,Blacklight,"$15,902,207","$9,591,094",60.3%,"$6,311,113",39.7%
125,Operation Mincemeat,"$15,710,164",-,-,"$15,710,164",100%
126,Maison de retraite,"$15,570,823",-,-,"$15,570,823",100%
127,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
128,Firestarter,"$15,039,250","$9,739,250",64.8%,"$5,300,000",35.2%
129,Crayon Shin-chan: Mononoke Ninja Chinpuden,"$15,031,811",-,-,"$15,031,811",100%
130,Terrifier 2,"$15,024,230","$10,640,105",70.8%,"$4,384,125",29.2%
131,The Wolf of Wall Street 2022 Re-release,"$14,877,539",-,-,"$14,877,539",100%
132,Bros,"$14,781,779","$11,628,165",78.7%,"$3,153,614",21.3%
133,X,"$14,779,858","$11,765,309",79.6%,"$3,014,549",20.4%
134,Super-héros malgré lui,"$14,770,359",-,-,"$14,770,359",100%
135,The Chosen Season 3: Episode 1 & 2,"$14,679,613","$14,612,089",99.5%,"$67,524",0.5%
136,Bones and All,"$14,534,907","$7,834,907",53.9%,"$6,700,000",46.1%
137,The Duke,"$14,227,217","$1,526,970",10.7%,"$12,700,247",89.3%
138,Sarkaru Vaari Paata,"$14,199,018",-,-,"$14,199,018",100%
139,Bodies Bodies Bodies,"$13,929,670","$11,446,602",82.2%,"$2,483,068",17.8%
140,Memory,"$13,897,255","$7,329,043",52.7%,"$6,568,212",47.3%
141,She Said,"$13,820,945","$5,825,995",42.2%,"$7,994,950",57.8%
142,Glass Onion,"$13,280,000","$13,280,000",100%,-,-
143,Valimai,"$13,276,393",-,-,"$13,276,393",100%
144,Easter Sunday,"$13,074,255","$13,013,690",99.5%,"$60,565",0.5%
145,Moonage Daydream,"$12,413,110","$4,218,925",34%,"$8,194,185",66%
146,Land of Legends,"$12,345,260",-,-,"$12,345,260",100%
147,Guglhupfgeschwader,"$12,307,072",-,-,"$12,307,072",100%
148,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie","$12,291,650",-,-,"$12,291,650",100%
149,Laal Singh Chaddha,"$12,093,536","$3,401,324",28.1%,"$8,692,212",71.9%
150,Alienoid,"$12,067,556","$168,309",1.4%,"$11,899,247",98.6%
151,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$11,624,925","$1,588,491",13.7%,"$10,036,434",86.3%
152,Jug Jugg Jeeyo,"$11,467,726","$1,033,000",9%,"$10,434,726",91%
153,Bergen,"$11,325,405",-,-,"$11,325,405",100%
154,Men,"$11,152,071","$7,587,853",68%,"$3,564,218",32%
155,Rise,"$11,101,433",-,-,"$11,101,433",100%
156,Till,"$10,819,071","$9,000,202",83.2%,"$1,818,869",16.8%
157,Warriors of Future,"$10,490,328",-,-,"$10,490,328",100%
158,Chickenhare and the Hamster of Darkness,"$10,398,222",-,-,"$10,398,222",100%
159,Jurassic Park 2022 Re-release,"$10,374,018",-,-,"$10,374,018",100%
160,Living,"$10,272,827","$2,782,713",27.1%,"$7,490,114",72.9%
161,The Pirates: The Last Royal Treasure,"$10,258,331",-,-,"$10,258,331",100%
162,Vaillante,"$10,143,170",-,-,"$10,143,170",100%
163,Table for Six,"$10,138,355",-,-,"$10,138,355",100%
164,Smack Dab Kakha,"$9,995,945",-,-,"$9,995,945",100%
165,F3: Fun and Frustration,"$9,849,193","$1,195,000",12.1%,"$8,654,193",87.9%
166,"Good Luck to You, Leo Grande","$9,688,824",-,-,"$9,688,824",100%
167,Spider-Man: No Way Home 2022 Re-release,"$9,613,518","$9,321,593",97%,"$291,925",3%
168,Rheingold,"$9,598,008",-,-,"$9,598,008",100%
169,Talk to Her Undated France Release,"$9,541,068",-,-,"$9,541,068",100%
170,Redeeming Love,"$9,464,198","$9,214,020",97.4%,"$250,178",2.6%
171,Pearl,"$9,423,445","$9,423,445",100%,-,-
172,The Eight Mountains,"$9,261,742",-,-,"$9,261,742",100%
173,The Beasts,"$9,029,209",-,-,"$9,029,209",100%
174,Sword Art Online the Movie: Progressive - Scherzo of Deep Night,"$8,919,693",-,-,"$8,919,693",100%
175,Samrat Prithviraj,"$8,568,339",-,-,"$8,568,339",100%
176,Life Is Beautiful,"$8,458,639",-,-,"$8,458,639",100%
177,Yolki 9,"$8,385,030",-,-,"$8,385,030",100%
178,Shotgun Wedding,"$8,290,015",-,-,"$8,290,015",100%
179,Don,"$8,287,406",-,-,"$8,287,406",100%
180,Vikram Vedha,"$8,234,166","$1,589,362",19.3%,"$6,644,804",80.7%
181,Remember Member,"$8,166,175",-,-,"$8,166,175",100%
182,Acharya,"$8,048,175","$832,000",10.3%,"$7,216,175",89.7%
183,The Tatta's,"$7,880,035",-,-,"$7,880,035",100%
184,Ducobu 4 President,"$7,858,171",-,-,"$7,858,171",100%
185,Il grande giorno,"$7,754,391",-,-,"$7,754,391",100%
186,Phases of the Moon,"$7,564,756",-,-,"$7,564,756",100%
187,Empire of Light,"$7,526,510","$1,177,577",15.6%,"$6,348,933",84.4%
188,777 Charlie,"$7,523,995",-,-,"$7,523,995",100%
189,Bachchhan Paandey,"$7,387,882",-,-,"$7,387,882",100%
190,Lesson in Murder,"$7,348,964",-,-,"$7,348,964",100%
191,Women Talking,"$7,339,384","$5,154,546",70.2%,"$2,184,838",29.8%
192,How About Adolf?,"$7,330,755",-,-,"$7,330,755",100%
193,Listy do M. 5,"$7,328,061",-,-,"$7,328,061",100%
194,Laid-Back Camp: The Movie,"$7,317,913",-,-,"$7,317,913",100%
195,Osomatsusan the Movie 2022 Re-release,"$7,297,522",-,-,"$7,297,522",100%
196,The New Toy,"$7,272,907",-,-,"$7,272,907",100%
197,Decibel,"$7,212,471","$60,579",0.8%,"$7,151,892",99.2%
198,A todo tren 2: Ahora son ellas,"$7,024,737",-,-,"$7,024,737",100%
199,Mobile Suit Gundam: Cucuruz Doan's Island,"$7,006,640",-,-,"$7,006,640",100%
200,Finnick,"$6,998,931",-,-,"$6,998,931",100%
